breadcrumb,image_url,brand,product_name,listing_price,offer_price,discount,sizes,product_details,URL
"Men,Designers,Dolce & Gabbana,Shoes,Boots,Chelsea boots",https://www.mytheresa.com/media/1094/1238/100/4d/P00937459.jpg,Dolce&Gabbana,Patent leather ankle boots,€ 920,€ 552,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: almond toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Black,Closure: elasticated sides,Item number: P00937459,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/dolce-gabbana-patent-leather-ankle-boots-black-p00937459
"Men,Designers,Tom Ford,Shoes,Sneakers,Designer sneakers",https://www.mytheresa.com/media/1094/1238/100/7d/P00945682.jpg,Tom Ford,Cambridge suede sneakers,€ 605,€ 363,40% off,"UK 6 / EU 39.5,UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43.5,UK 10 / EU 44.5,UK 11 / EU 45.5,UK 12 / EU 47,UK 13 / EU 48","Upper: calf leather,Lining: calf leather, goat leather,Sole: rubber insole and sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bag,Designer color name: 3JW01 Taupe + Cream,Trim: brass,Details: fabric,Item number: P00945682,True to size,Half sizes please take the next size down,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/tom-ford-cambridge-suede-sneakers-beige-p00945682
"Men,Designers,Dolce & Gabbana,Shoes,Sneakers,Designer sneakers",https://www.mytheresa.com/media/1094/1238/100/43/P00937460.jpg,Dolce&Gabbana,DG Cushion suede-trimmed sneakers,€ 465,€ 325,30% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather, fabric,Lining: leather, fabric,Sole: rubber insole and sole,Toe shape: almond toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Beige/ Nero,Item number: P00937460,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/dolce-gabbana-dg-cushion-suede-trimmed-sneakers-beige-p00937460
"Men,Designers,Valentino Garavani,Shoes,Sneakers,Designer sneakers",https://www.mytheresa.com/media/1094/1238/100/e4/P00953933.jpg,Valentino Garavani,EasyJog VLogo leather-trimmed sneakers,€ 715,€ 357,50% off,"EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: fabric, leather, rubber,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags, extra laces,Designer color name: Nero/New Chinos,Closure: lace-up,Trim: leather,Item number: P00953933,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/valentino-garavani-easyjog-vlogo-leather-trimmed-sneakers-multicoloured-p00953933
"Men,Designers,Loewe,Shoes,Sneakers,Designer sneakers",https://www.mytheresa.com/media/1094/1238/100/41/P00956030.jpg,Loewe,Bloc denim sneakers,€ 505,€ 353,30% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45","Upper: fabric,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Spain,Includes: shoe box, dust bags,Designer color name: Raw Denim,Closure: lace-up,Item number: P00956030,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/loewe-bloc-denim-sneakers-blue-p00956030
"Men,Designers,Dolce & Gabbana,Shoes,Loafers",https://www.mytheresa.com/media/1094/1238/100/93/P00947948.jpg,Dolce&Gabbana,Milano leather-trimmed velvet loafers,€ 830,€ 498,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: fabric,Lining: leather,Sole: leather insole and sole,Toe shape: almond toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Nero,Item number: P00947948,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/dolce-gabbana-milano-leather-trimmed-velvet-loafers-black-p00947948
"Men,Designers,Manolo Blahnik,Shoes,Boots,Lace up boots",https://www.mytheresa.com/media/1094/1238/100/0d/P00947867.jpg,Manolo Blahnik,Buloko leather combat boots,"€ 1,255",€ 753,40% off,"UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43,UK 10 / EU 44,UK 11 / EU 45,UK 12 / EU 46","Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box,Designer color name: Black,Item number: P00947867,True to size,Half sizes please take the next size up,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/manolo-blahnik-buloko-leather-combat-boots-black-p00947867
"Men,Designers,Tom Ford,Shoes,Loafers",https://www.mytheresa.com/media/1094/1238/100/07/P00945413.jpg,Tom Ford,Nicolas leopard-print calf hair loafers,"€ 1,000",€ 600,40% off,"UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43.5,UK 10 / EU 44.5,UK 11 / EU 45.5,UK 12 / EU 47,UK 13 / EU 48","Upper: calf hair,Lining: leather,Sole: leather insole and sole,Toe shape: almond toe,Made in Italy,Includes: shoe box, dust bag,Designer color name: Tobacco Brown/Chocolate,Item number: P00945413,True to size,Narrow at the back,Half sizes please take the next size down,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/tom-ford-nicolas-leopard-print-calf-hair-loafers-brown-p00945413
"Men,Designers,Lemaire,Shoes,Boots,Chelsea boots",https://www.mytheresa.com/media/1094/1238/100/26/P00962902.jpg,Lemaire,Leather Chelsea boots,€ 655,€ 458,30% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45","Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Portugal,Includes: shoe box, dust bags,Designer color name: Black,Item number: P00962902,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/lemaire-leather-chelsea-boots-black-p00962902
"Men,Designers,Burberry,Shoes,Boots,Chelsea boots",https://www.mytheresa.com/media/1094/1238/100/ad/P00980014.jpg,Burberry,Leather Chelsea boots,€ 830,€ 498,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather, rubber, polyester,Lining: fabric,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Loch,Closure: elasticated sides,Item number: P00980014,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/burberry-leather-chelsea-boots-green-p00980014
"Men,Designers,Loewe,Shoes,Sneakers,Low-Top",https://www.mytheresa.com/media/1094/1238/100/70/P00956065.jpg,Loewe,Terra Vulca suede sneakers,€ 545,€ 327,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45","Upper: suede,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Spain,Includes: dust bags, shoe box,Designer color name: Lilac,Item number: P00956065,Fits small to size - we recommend trying one size larger,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/loewe-terra-vulca-suede-sneakers-purple-p00956065
"Men,Designers,Acne Studios,Shoes,Boots,Ankle boots",https://www.mytheresa.com/media/1094/1238/100/8c/P00951765.jpg,Acne Studios,Shearling-lined suede ankle boots,€ 750,€ 450,40% off,"EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: suede,Lining: shearling,Sole: rubber insole and sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Tobacco Broqn,Item number: P00951765,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/acne-studios-shearling-lined-suede-ankle-boots-brown-p00951765
"Men,Designers,Acne Studios,Shoes,Boots,Ankle boots",https://www.mytheresa.com/media/1094/1238/100/e9/P00951764.jpg,Acne Studios,Trompe l'œil leather snow boots,€ 750,€ 450,40% off,"EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Multi Blue,Item number: P00951764,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/acne-studios-trompe-loeil-leather-snow-boots-blue-p00951764
"Men,Designers,Valentino Garavani,Shoes,Formal shoes,Oxford",https://www.mytheresa.com/media/1094/1238/100/69/P00939276.jpg,Valentino Garavani,Mini VLogo Signature leather Derby shoes,€ 750,€ 525,30% off,"EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bag,Designer color name: Nero,Item number: P00939276,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/valentino-garavani-mini-vlogo-signature-leather-derby-shoes-black-p00939276
"Men,Designers,Burberry,Shoes,Sneakers,Low-Top",https://www.mytheresa.com/media/1094/1238/100/b9/P00980029.jpg,Burberry,Leather sneakers,€ 750,€ 450,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather,Lining: fabric,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Black,Closure: lace-up,Item number: P00980029,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/burberry-leather-sneakers-black-p00980029
